ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,Parent_Bac
9,10,nan,003,8,nan,0,001,001,0,001,A003,10
9,11,nan,003,8,nan,0,001,001,0,001,A003,11
9,12,nan,003,8,nan,0,001,001,0,001,A003,12
9,13,nan,003,8,nan,0,001,001,0,001,A003,13
9,14,nan,003,8,nan,0,001,001,0,001,A003,14
9,15,nan,003,8,nan,0,001,001,0,001,A003,15
9,16,nan,003,8,nan,0,001,001,0,001,A003,16
9,17,nan,003,8,nan,0,001,001,0,001,A003,17
9,18,nan,003,8,nan,0,001,001,0,001,A003,18
9,19,nan,003,8,nan,0,001,001,0,001,A003,19
9,20,nan,003,8,nan,0,001,001,0,001,A003,20
9,21,nan,003,8,nan,0,001,001,0,001,A003,21
